No.;Time;Comment;Scramble;Date;P.1
158;18.06;;L' U2 R B2 L D2 F2 L2 F2 U2 R' F2 U F' D2 B' L U2 B' R B;2025-10-28 17:13:03;18.06
159;23.57;;R2 D' L2 F2 D U2 B2 L2 R2 D2 R2 U' L B2 R2 B D L F2 R';2025-10-28 17:13:35;23.57
160;19.38;;L D2 B' D2 L2 D B2 R2 D' B2 F2 U B L2 F D' R U' R2;2025-10-28 17:14:10;19.38
161;21.56;;B2 L' D2 B L2 B2 F R2 U2 B D2 B2 D2 L B' F D L F' D B';2025-10-28 17:14:48;21.56
162;20.13;;F U' B2 U' L D2 F2 U' L' F2 D2 B R2 B2 L2 B2 L2 B' U2 L2;2025-10-28 17:15:21;20.13
163;15.15;;B R2 D2 U2 F2 D2 R2 B U2 F2 L2 B' U L F L2 R D B U2;2025-10-28 17:15:53;15.15
164;19.92;;B' F L2 U2 F2 L2 D2 F D2 R2 L' B2 R' D F U R U' B R;2025-10-28 17:16:21;19.92
165;21.42;;R B2 D2 B2 U2 R U2 R F2 R D L2 D' F U' R U2 R' B;2025-10-28 17:16:53;21.42
166;14.89;;U2 L2 B L2 U2 R2 D2 B R2 F2 R2 F R D L F' U2 L' F L2;2025-10-28 17:21:07;14.89
167;18.99;;U2 B2 L' D2 R B2 D2 R2 B2 D F' L F' L2 R U L2 R;2025-10-28 17:21:34;18.99
168;21.37;;L2 F2 L2 D2 F R2 D2 F' L2 D2 B' R2 U B2 R' B' L' B L' U';2025-10-28 17:22:08;21.37
169;16.55;;L2 F2 D F2 U R2 D' B2 D R2 U F' L U B L D' L' U' R B';2025-10-28 17:22:43;16.55
170;23.97;;F' U L2 B' U2 F L2 D2 R2 F2 R2 B' U' L U F2 D2 L F2 D';2025-10-28 17:23:11;23.97
171;23.35;;F' L D B2 U F2 R2 D2 L2 U B2 D F2 D2 R D' R' B R B U;2025-10-28 17:23:50;23.35
172;17.15;;F' R' L2 D2 B2 D' L2 F2 R2 F2 D R2 D R2 B R F2 R' U F';2025-10-28 17:24:26;17.15
173;16.16;;B U2 D R2 B R F D B2 R2 U2 F2 R2 D' B2 U B2 D2 R2 B L2;2025-10-28 17:24:59;16.16
174;20.51;;F D' B F U2 B' R2 F' L2 F' U2 L2 R' F L2 F2 D2 U' R2;2025-10-28 17:25:31;20.51
175;14.36;;B' D F2 R2 U' F2 L2 D' B2 U' B2 F2 D' B' R2 F U' L' U' B2 U2;2025-10-28 17:26:07;14.36
176;18.92;;F2 D' B2 R2 D2 F2 U2 R' U2 R U2 B2 R' U B' D L' D2 U2 R';2025-10-28 17:26:33;18.92
177;21.16;;D F L2 R2 D2 B2 U2 F' U2 F' L2 F2 R' D' B R D L2 R' B2 L;2025-10-28 17:27:04;21.16
178;14.06;;R F2 B' R2 L2 U R' L2 B2 L2 B' L2 F L2 B2 R2 U2 R2 U L;2025-10-28 17:27:35;14.06
179;16.34;;F' L' U2 L' F2 U' R' B F2 R2 D L2 D L2 U2 B2 D2 B2 U2 R;2025-10-28 17:28:06;16.34
180;19.37;;R' B U' R L2 U R F R U2 R' D2 L' F2 B2 R' B2 R F2 D2 U';2025-10-28 17:28:34;19.37
181;20.12;;U2 L' F D' B2 D' F2 L' F2 R U2 L' U2 B2 R D2 R2 F2 B;2025-10-28 17:29:07;20.12
182;17.92;;F2 L U2 B D2 F' R2 D2 F R2 B2 R2 F L' D2 U' F2 R D L' B';2025-10-28 17:29:46;17.92
183;16.44;;F U F' D R2 U L2 B2 L2 F2 U2 B2 U' B2 F' U2 R F2 U' R B2;2025-10-28 17:30:15;16.44
184;12.05;;L2 B2 U L2 D' B2 L2 U F2 R2 D' F2 B' U' L2 D R2 F U' R U;2025-10-28 17:30:55;12.05
185;15.26;;R' U2 L2 F2 D2 F2 D2 R2 B2 D L' B' D' L' D' R' D B2 F;2025-10-28 17:31:19;15.26
